-2500000	3500000
-2700000	3600000
-2900000	3600000
-2900000	3400000
-2700000	3400000
-2700000	3600000
-2500000	3500000
-2700000	3300000
-2900000	3300000
-2900000	3100000
-2700000	3100000
-2700000	3300000
-2500000	3500000
-2400000	3300000
-2600000	3300000
-2600000	3100000
-2400000	3100000
-2400000	3300000
-2500000	3500000
-2100000	3300000
-2300000	3300000
-2300000	3100000
-2100000	3100000
-2100000	3300000
-2500000	3500000
-2100000	3600000
-2300000	3600000
-2300000	3400000
-2100000	3400000
-2100000	3600000
-2500000	3500000
-2100000	3900000
-2300000	3900000
-2300000	3700000
-2100000	3700000
-2100000	3900000
-2500000	3500000
-2400000	3900000
-2600000	3900000
-2600000	3700000
-2400000	3700000
-2400000	3900000
-2500000	3500000
-2700000	3900000
-2900000	3900000
-2900000	3700000
-2700000	3700000
-2700000	3900000
-2500000	3500000
-2502200	3498750
-2508156	3499775
-2800000	3550000
-2800000	3450000
-2508107	3497726
-2508156	3499775
-2502200	3498750
-2500000	3500000
-2501950	3498000
-2508911	3493040
-2850000	3250000
-2750000	3150000
-2506862	3490991
-2508911	3493040
-2501950	3498000
-2500000	3500000
-2501500	3498000
-2502470	3492040
-2550000	3200000
-2450000	3200000
-2500421	3492040
-2502470	3492040
-2501500	3498000
-2500000	3500000
-2499900	3498750
-2494902	3491775
-2250000	3150000
-2150000	3250000
-2492853	3493824
-2494902	3491775
-2499900	3498750
-2500000	3500000
-2497800	3501250
-2491844	3500225
-2200000	3450000
-2200000	3550000
-2491893	3502274
-2491844	3500225
-2497800	3501250
-2500000	3500000
-2500900	3502000
-2493882	3506960
-2150000	3750000
-2250000	3850000
-2495931	3509009
-2493882	3506960
-2500900	3502000
-2500000	3500000
-2501700	3502000
-2500666	3507960
-2450000	3800000
-2550000	3800000
-2502715	3507960
-2500666	3507960
-2501700	3502000
-2500000	3500000
-2502050	3501250
-2507009	3508225
-2750000	3850000
-2850000	3750000
-2509058	3506176
-2507009	3508225
-2502050	3501250
-2500000	3500000
0	0

-1500000	3500000
-1700000	3600000
-1900000	3600000
-1900000	3400000
-1700000	3400000
-1700000	3600000
-1500000	3500000
-1700000	3300000
-1900000	3300000
-1900000	3100000
-1700000	3100000
-1700000	3300000
-1500000	3500000
-1400000	3300000
-1600000	3300000
-1600000	3100000
-1400000	3100000
-1400000	3300000
-1500000	3500000
-1100000	3300000
-1300000	3300000
-1300000	3100000
